repo_slug,category,rationale,suggested_new_class
ancat/egrets,Runtime Security,"The repository's main intent is to monitor egress traffic by correlating process syscalls with DNS lookups to identify the destination hostnames. This functionality is fundamentally for security monitoring. The README explicitly frames this as a more reliable alternative to security practices like IP address whitelisting. Although the current implementation only prints events, the stated future goal is to add response capabilities like killing processes. According to the classification rules, if a tool interprets signals through a threat-detection lens, even if it only observes, it leans towards security. The focus on egress traffic, the comparison to whitelisting, and the planned response actions firmly place its intent within the Runtime Security domain, where the goal is to observe systems to detect potentially malicious or policy-violating activity.",
microsoft/ebpf-for-windows,"Platform, Runtime & Acceleration","The repository's primary purpose is to create a runtime environment that allows eBPF programs, traditionally a Linux technology, to execute on the Windows operating system. The documentation details the architecture of this environment, including a JIT compiler, an interpreter, and a mechanism to compile eBPF bytecode into native Windows drivers (`.sys` files). This directly aligns with the definition of 'Platform, Runtime & Acceleration', which includes projects that 'extend eBPF beyond Linux (e.g., Windows eBPF, user-space runtimes, cross-platform ports)' and focus on 'how eBPF executes, not what it observes or enforces'. The project is not an application of eBPF (like security or networking) but rather the foundational platform that enables such applications on a new OS.",
ebpf-networking/tc-nodeport,Cloud Native Networking,"The repository's main purpose is to provide a Proof of Concept for a Kubernetes `NodePort` service using eBPF for load balancing and NAT. This falls directly under the Cloud Native Networking category, which covers programs that implement or optimize networking capabilities specifically for containerized environments like Kubernetes. It deals with concepts like services, backends (pods), and worker nodes, making it a clear example of eBPF applied to cloud-native infrastructure rather than a generic kernel networking tool.",
angelopoerio/tinyfw,Runtime Security,"The repository describes itself as a ""toy containers aware firewall"". Its primary function is to attach an eBPF program to network interfaces (including those of containers) to enforce a network policy in real-time. Specifically, it drops all incoming TCP traffic on a hardcoded list of ports. This action directly aligns with the definition of Runtime Security, which includes ""programs that enforce runtime policies"" and ""respond to potentially malicious or policy-violating activity while a system or workload is actively running."" Although the project is labeled as a ""toy,"" its implemented functionality is that of a runtime enforcement agent. It is not Cloud Native Networking because its goal is security restriction, not providing connectivity. It is not purely Educational because it is presented as a functional tool, despite its simplicity.",
fbac/sklookup-go,Kernel / Dataplane Networking,"The repository's primary function is to use an eBPF `sk_lookup` program to manipulate the kernel's socket dispatching behavior. It allows redirecting incoming network connections for a given port to a socket of an existing process. This is a direct implementation of kernel-level traffic control and routing, fitting squarely within the Kernel / Dataplane Networking category. The use cases, such as adding listening ports to a running service or building proxies, are classic examples of programming the network dataplane, independent of any cloud-native orchestration.",
r-caamano/ebpf-tproxy-splicer,Runtime Security,"The repository's primary function is to act as a ""statefull ingress FW"" (firewall) using eBPF at the `tc` hook. It enforces network policies by default-denying traffic and only allowing flows that are explicitly configured by a security controller (OpenZiti). The program's core purpose is to enforce a zero-trust policy in the kernel by redirecting or passing traffic based on dynamically updated rules. This aligns perfectly with the definition of Runtime Security, which includes programs that ""enforce runtime policies"" and act as an ""in-kernel policy engine"" to protect a running system. While it uses networking primitives, its intent is not general connectivity or performance but security enforcement.",
kindlingproject/kindling,Observability,"The repository describes itself as an ""eBPF-based Cloud Native Monitoring Tool"" with the explicit goal to ""help users understand the app behavior from kernel to code stack"" and ""find the root cause in seconds."" Its core features, such as ""trace profiling,"" providing an ""overview of network flows,"" and offering built-in monitoring dashboards, are all hallmarks of observability tools. The project's intent is clearly focused on monitoring, performance analysis, and diagnostics, rather than security enforcement, providing network connectivity, or adversarial simulation. Its integration with Prometheus further solidifies its classification as an Observability tool.",
IETF-Hackathon/ietf115-project-presentations,Educational / Demonstration Resources,"The repository's primary and sole purpose is to serve as a collection point for project presentations from the IETF 115 Hackathon. These presentations are inherently educational and demonstrative, designed to showcase and explain the work and concepts explored during the event. This aligns perfectly with the definition of 'Educational / Demonstration Resources', which includes 'repositories that demonstrate proof-of-concept...used in...conference presentations' and 'curated resource collections related to eBPF education'.",
intel/processwatch,Observability,"The repository is explicitly described as a ""profiling tool to get per-process instruction mix."" Its function is to observe, measure, and display the types of CPU instructions being executed by processes in real-time. This aligns perfectly with the definition of the Observability class, which includes programs that ""observe, measure, trace, or profile systems... without a security or adversarial goal."" The tool's output helps developers and performance engineers understand system behavior and diagnose performance, which are key use cases for observability tools.",
ShubhamPalriwala/NetWorth,Observability,"The repository's primary and sole function is to monitor network packets at the host level using eBPF (specifically XDP) and export this data as metrics for visualization. The entire architecture, from the eBPF data collection to the Python exporter, Prometheus scraper, and Grafana dashboard, is a classic observability pipeline. It aims to answer questions like ""how many bytes am I receiving?"" and ""what protocols are in use?"", which falls directly under the definition of Observability: using eBPF to observe and measure system behavior without a security, offensive, or networking-control goal.",
boratanrikulu/durdur,Kernel / Dataplane Networking,"The repository describes itself as an ""eBPF-powered L4 package dropper"". Its primary function is to implement a simple, command-line-driven firewall that filters and drops L3/L4 packets based on user-defined rules, such as source IP or DNS name. This functionality aligns directly with the definition of 'Kernel / Dataplane Networking', which includes programs that use eBPF to implement firewalls and manipulate packet processing directly within the Linux kernel networking stack. The tool operates independently of any cloud-native or orchestration environment, focusing purely on low-level packet filtering, which is a core characteristic of this category.",
groundcover-com/caretta,Observability,"The repository's primary function is to provide visibility into network communications within a Kubernetes cluster. It uses eBPF to trace network interactions, collects this data as metrics (`caretta_links_observed`), and makes it available for visualization in Grafana to create a 'service dependency map'. The project explicitly describes itself as an 'observability solution' and focuses on exposing 'inter-dependencies' rather than detecting threats or enforcing policies. This aligns perfectly with the definition of the Observability class, which includes programs that observe, measure, and trace systems to understand their behavior without a security goal.",
keisku/execve-printer,Educational / Demonstration Resources,"The repository's primary purpose is to demonstrate a fundamental eBPF concept: attaching a program to a tracepoint (`sys_enter_execve`) and printing a message from the kernel. The code is minimal and serves as a 'hello world' example for syscall tracing. It is not a production-grade tool for security, observability, or networking. Its intent is clearly pedagogical, aiming to teach or showcase how to perform a basic eBPF action, which aligns perfectly with the definition of an educational or demonstration resource.",
trailofbits/ebpf-verifier,Defensive Security,"The repository's primary purpose is to create a userspace harness for testing the eBPF verifier itself, a core security component of the Linux kernel. The documentation states its goal is to ""allow efficient checks that an eBPF program will run on various kernel versions"" and to ""detecting discrepencies in the eBPF verifier between different kernel versions."" This aligns perfectly with the Defensive Security category, which includes programs that validate, verify, or harden systems outside of active attack conditions. By enabling rigorous testing of the verifier, the project helps ensure the robustness of the kernel's primary defense against unsafe eBPF programs, thereby reducing the attack surface and increasing system resilience through analysis and verification.",
furkanonder/beetrace,Observability,"The repository's main purpose is to trace Python process execution, including function calls and line-by-line activity. This falls squarely into the Observability category, as it uses eBPF (via bpftrace and USDT probes) to observe and understand application behavior for debugging and performance analysis. The tool does not have a security intent (ruling out Runtime, Defensive, and Offensive Security), nor does it provide networking infrastructure or developer frameworks. Its goal is to provide insight and diagnostics into a running process, which is the core definition of Observability.",
SeeFlowerX/stackplz,Observability,"The repository provides a command-line tool specifically designed for deep system tracing and debugging on Android. Its core features—syscall tracing, uprobes on user-space libraries, hardware breakpoint support, and detailed stack/register dumping—are all focused on observing and understanding the runtime behavior of applications. The tool's purpose is to provide visibility for diagnostics, debugging, and reverse engineering, which aligns directly with the definition of Observability. It does not enforce security policies, manage network traffic, or provide a framework for building new eBPF applications.",
intel/afxdp-plugins-for-kubernetes,Cloud Native Networking,"The repository's primary function is to provide a high-performance networking solution for Kubernetes pods. It achieves this by implementing a CNI plugin and a Kubernetes device plugin that leverage AF_XDP, a high-speed datapath that relies on eBPF. This directly aligns with the 'Cloud Native Networking' category, which is defined as programs that use eBPF to implement, optimize, or extend networking capabilities specifically within containerized environments like Kubernetes.",
vadorovsky/aya-btf-map,Developer Tooling / Frameworks,"This repository provides a Rust crate that adds experimental support for BTF-defined maps to the Aya framework. Its purpose is to enhance the capabilities available to developers writing eBPF programs in Rust, allowing them to use modern map definitions instead of legacy ones. The project consists of macros and library code, which are classic components of a developer framework or toolchain. It does not perform any runtime security, networking, or observability functions itself; rather, it is a building block to be used by developers creating such applications. The requirement to build a custom LLVM and bpf-linker further solidifies its classification as a tool for the eBPF development lifecycle.",
CloudNativeDataPlane/cndp,Developer Tooling / Frameworks,"The repository explicitly defines itself as a ""collection of user space libraries"" and a ""framework for cloud native developers."" Its primary goal is to simplify high-performance network application development by providing APIs that abstract the complexities of AF_XDP and other platform acceleration features. The documentation repeatedly emphasizes its role in enabling developers to build applications, stating that ""CNDP hides the low-level I/O, allowing the developer to focus on their application."" While the applications built with CNDP would fall into the Kernel/Dataplane or Cloud Native Networking categories, CNDP itself is the toolkit—the SDK and libraries—used for their creation. The comparison to DPDK (Data Plane Development Kit) further solidifies its classification as a developer-focused framework rather than a deployable networking solution.",
nickolaev/vagrant-parallels-m1-k8s-cilium,Educational / Demonstration Resources,"The repository's stated purpose is to ""create a demo/verification environment for Kubernetes with Cilium"". It consists of Vagrant scripts that automate the setup of a local lab environment. This aligns directly with the definition of the Educational / Demonstration Resources class, which includes projects designed for learning, experimentation, and demonstrating concepts. While it involves deployment automation (an operational task), its primary intent is not for production management but to provide a hands-on environment for users to learn about or test Cilium. The Operations class explicitly excludes ""demo orchestration scripts meant for learning"", which perfectly describes this repository.",
Esonhugh/sshd_backdoor,Offensive Security,"The repository's explicit purpose is to create a backdoor for the SSH daemon (sshd) by hijacking the read operation on the `authorized_keys` file and injecting an attacker's public key. The project name `sshd_backdoor`, the description ('evil file watchdog'), and the functionality (manipulating syscalls to gain unauthorized access) all clearly align with adversarial and red-team purposes. It also includes a keylogging feature to capture passwords. This fits the definition of Offensive Security, which includes tools that use eBPF to exploit, subvert, or persist stealthily on a system.",
cilium/cilium.io,Educational / Demonstration Resources,"This repository contains the source code for the official Cilium project website, cilium.io. Its primary purpose is to serve as an informational and educational hub for the Cilium project and eBPF technology. The content includes blogs, links to documentation, training materials, and community resources. The repository's functionality is centered around a web framework (Gatsby) for publishing this content. According to the classification rules, projects that are explicitly for teaching, providing tutorials, examples, workshops, or curated resource collections fit into this category. The main project website is a quintessential educational and informational resource for its user base.",
mdditt2000/kubernetes-1-26,Educational / Demonstration Resources,"The repository's primary purpose is to educate and demonstrate how to configure F5 BIG-IP with various Kubernetes CNIs, including the eBPF-based Cilium. The description explicitly calls it an ""Example showcasing"" and notes it is an accompaniment to a video walkthrough. This fits the definition of an Educational / Demonstration Resource, which includes tutorials, examples, and showcase projects designed for learning and experimentation, rather than being a production tool itself. While the subject matter is Cloud Native Networking, the repository's function is purely instructional.",
eunomia-bpf/wasm-bpf,"Platform, Runtime & Acceleration","The repository's core purpose is to provide a new execution environment for the user-space portion of eBPF applications by compiling them to and running them in a WebAssembly (Wasm) sandbox. The documentation repeatedly emphasizes that it is a ""library, toolchain and runtime"". This aligns directly with the definition of Class 10: 'PROGRAMS that provide PLATFORM, RUNTIME & ACCELERATION', which includes systems that ""provide the underlying runtime environments"" and ""embedding eBPF in alternate runtimes like WASM"". While it contains developer tooling, the primary innovation and function is the Wasm-based runtime that changes *how* and *where* eBPF user-space code executes, focusing on portability and sandboxing rather than a specific application like security or networking.",
eunomia-bpf/GPTtrace,Developer Tooling / Frameworks,"The primary purpose of this repository is to generate eBPF programs from natural language prompts using GPT. It acts as a high-level abstraction layer, simplifying the creation of eBPF tracing scripts and programs. This squarely fits the definition of a developer tool, as its main function is to make writing eBPF code easier and more accessible, thereby increasing developer productivity. While the output of the generated programs is often for observability, the tool itself is a code generator—a classic example of developer tooling.",
cilium/tetragon,Runtime Security,"The repository's documentation explicitly states its purpose is 'real-time, eBPF-based Security Observability and Runtime Enforcement.' It is designed to 'detect[] and react to security-significant events' such as process execution, system calls, and I/O activity. This directly aligns with the definition of Runtime Security, which involves observing, detecting, and responding to potentially malicious activity while a system is running. The focus on 'detection', 'reaction', and 'enforcement' clearly places it in this category, distinguishing it from pure Observability tools.",
daeuniverse/dae,Kernel / Dataplane Networking,"The repository implements a high-performance transparent proxy that uses eBPF to split and route traffic directly in the Linux kernel. Its primary goal is packet processing efficiency and traffic control, independent of cloud-native orchestration systems like Kubernetes. It manipulates the packet path to bypass userspace proxies for certain connections, which is a core function of Kernel / Dataplane Networking as defined by the provided categories.",
yasindce1998/KubeDagger,Offensive Security,"The repository explicitly describes itself as a ""Kubernetes offensive framework built in eBPF"" and a ""rootkit that leverages multiple eBPF features to implement offensive security techniques."" Its features include container breakouts, persistent access, command and control, and bypassing security protections (RASP). This aligns perfectly with the definition of Offensive Security, which covers tools used for adversarial, exploitative, or red-team purposes. The intent is to demonstrate how to attack systems, not defend or observe them.",
xinity/k0s_cilium_playground,Educational / Demonstration Resources,"The repository's explicit name, ""k0s_cilium_playground"", and its self-described purpose to provide a ""full cilium playground"" clearly establish its intent for learning and experimentation. The codebase consists of wrapper scripts that automate the setup of a complex, temporary environment (k0s clusters with Cilium clustermesh) using tools like `multipass` and `k0sctl`. This aligns perfectly with the definition of an educational resource, which includes projects designed for teaching, demonstrating concepts, and providing hands-on learning materials. The project itself does not perform networking or security functions; it simply creates a sandboxed environment where one can learn about or demonstrate Cilium's eBPF capabilities.",
krisnova/q,Observability,"The repository's explicit goal is to ""Surface Linux networking metrics with eBPF"". It uses eBPF kprobes to instrument kernel functions related to TCP connection requests and exposes metrics about kernel accept queues, such as queue length (`qlen`) and maximum size (`qmax`). This aligns directly with the definition of Observability, which is to observe, measure, and understand system behavior for performance analysis or diagnostics. The tool provides visibility into a low-level system component without any security, networking control plane, or offensive intent.",
Xilinx/nanotube,"Platform, Runtime & Acceleration","The repository's primary purpose is to provide a compiler, libraries, and an API to offload eBPF XDP programs to FPGAs on SmartNICs. It takes eBPF C code and transforms it into HLS C++ for hardware synthesis. This directly aligns with the definition of 'Platform, Runtime & Acceleration', which includes systems that 'offload eBPF processing to specialized hardware such as SmartNICs, DPUs, FPGAs'. The project's focus is on changing the execution environment for performance gains, not on what the eBPF program itself does (e.g., networking or security).",
lizrice/learning-ebpf,Educational / Demonstration Resources,"The repository's explicit and primary purpose is to provide the companion code examples for the O'Reilly book ""Learning eBPF"". The entire structure is organized by book chapters, containing small, focused programs designed to illustrate specific concepts (tracing, networking, security) for educational purposes. It is not a production-ready tool but rather a set of hands-on learning materials, which perfectly matches the definition of this class.",
edgebitio/edgebit-agent,Runtime Security,"The repository's main purpose is to use eBPF to ""track what packages are actively used by the system in order to ascertain which portions of the SBOM are relavent for vulnerability remediation."" This falls squarely into Runtime Security because it observes system behavior (which files/libraries are loaded) in real-time to detect a specific security condition: the active use of a known-vulnerable component. While it doesn't block malicious activity directly, it provides live, actionable intelligence on runtime exposure, which is a core function of modern runtime security tools. It interprets system signals through a threat-detection lens (Is a vulnerable library being used right now?) rather than for neutral performance monitoring (Observability) or pre-runtime hardening (Defensive Security).",
kris-nova/boopkit,Offensive Security,"The repository explicitly describes itself as a ""Linux rootkit and backdoor. Built using eBPF."" Its primary functionalities—remote command execution, network gateway bypass, and runtime process hiding—are all adversarial in nature. The tool is designed for post-exploitation, providing stealth and persistence, which directly aligns with the definition of the Offensive Security class. The inclusion of a Metasploit-compatible script further solidifies its classification as a red-team or offensive tool.",
kris-nova/boopkit,Offensive Security,"The repository explicitly defines itself as a 'Linux rootkit and backdoor' that uses eBPF for adversarial purposes. Its primary functions include spawning reverse shells for remote command execution, hiding its own process for stealth persistence, and using malformed TCP packets as a covert trigger. These capabilities align perfectly with the definition of Offensive Security, which covers tools designed for red-teaming, exploitation, and demonstrating how eBPF can be abused to subvert system security. The inclusion of a Metasploit-compatible script further solidifies its classification as an offensive tool.",
rprinz08/hBPF,"Platform, Runtime & Acceleration","The repository's explicit and primary goal is to implement an eBPF CPU in hardware (FPGA). The documentation states, ""this project now implements most of eBPF features in hardware (FPGA)"" and its purpose is to create a form of ""smart NIC"" capable of offloading tasks from the host CPU for performance reasons. This aligns perfectly with the definition of 'Platform, Runtime & Acceleration', which includes systems that ""offload eBPF processing to specialized hardware such as SmartNICs, DPUs, FPGAs."" The project is fundamentally about creating a new, accelerated execution environment for eBPF, not about using eBPF for a specific application like networking or security.",
fuweid/embedshim,"Platform, Runtime & Acceleration","The primary purpose of `embedshim` is to provide a more efficient, low-overhead container task runtime implementation (a 'shim') for `containerd`. It uses an eBPF tracepoint on `sched_process_exit` to reliably and efficiently manage the lifecycle of container processes, solving a core operational problem in container management. This project is not concerned with security, networking, or application-level observability. Instead, it focuses on improving the performance and functionality of the underlying container platform itself. This aligns directly with the 'Platform, Runtime & Acceleration' category, as it serves as a foundational runtime component that accelerates and enhances the core infrastructure upon which all containerized workloads depend. It is a new runtime, enabled by eBPF, rather than a tool for observing or securing workloads.",
cosmonic/netreap,"Operations, Orchestration & Lifecycle Management","The repository's primary function is to manage the lifecycle and configuration of Cilium in a non-Kubernetes environment (specifically, Nomad). The README explicitly states its purpose is to provide functionality similar to the Cilium Operator, which includes cleaning up orphaned Cilium endpoints, removing non-existent nodes from the KV store, and synchronizing Cilium network policies across the cluster. This aligns perfectly with the definition of 'Operations, Orchestration & Lifecycle Management', as it acts as the operational 'glue' or controller for an eBPF-based system, rather than implementing the eBPF functionality (like networking or security) itself.",
google/buzzer,Defensive Security,"The repository's primary and sole purpose is to serve as an ""eBPF Fuzzer toolchain."" Its function is to generate random eBPF programs to discover vulnerabilities and unexpected behaviors in the kernel's eBPF verifier and runtime. This directly aligns with the definition of Defensive Security, which includes programs that ""fuzz components to discover weaknesses"" and ""strengthen, validate, or harden systems before or outside of active runtime attack conditions."" The 'Trophies' section, which lists CVEs found by the tool, confirms its intent is proactive hardening and vulnerability discovery, not runtime detection (Runtime Security) or exploitation (Offensive Security).",
facebookincubator/dns,Kernel / Dataplane Networking,"The repository's core component is `dnsrocks`, described as an ""authoritative dns server"" built with eBPF. The primary purpose of using eBPF for a DNS server is to achieve high-performance packet processing, handling DNS queries and responses directly in the kernel via hooks like XDP or tc. This is a classic application of Kernel / Dataplane Networking, which focuses on accelerating network functions and manipulating packets at a low level. The other tools in the repository, `dnswatch` (a snooping utility) and `goose` (a load testing utility), are ancillary components that support the main goal of creating and validating a high-performance DNS dataplane. While `dnswatch` has an observability aspect, the repository's main intent is providing a functional, accelerated network service, not just monitoring.",
tw4452852/zbpf,Developer Tooling / Frameworks,"The repository's primary purpose is to provide a framework for writing eBPF programs using the Zig programming language. Its main goal is to improve the developer experience by offering high-level abstractions, strong compile-time type safety using BTF, and simplified error handling. The project provides libraries, a build system, and extensive examples to help developers create eBPF programs more efficiently. The included 'trace' tool serves as a demonstration of what can be built with the framework, rather than being the repository's main product. This aligns perfectly with the definition of a tool that exists to make developing with eBPF easier.",
unibg-seclab/Cage4Deno,Runtime Security,"The repository's main purpose is to create a fine-grained sandbox for Deno subprocesses, explicitly using eBPF to enforce 'deny rules' at runtime. The documentation states its effectiveness is demonstrated by 'successfully blocking a number of exploits for recent CVEs'. This aligns perfectly with the definition of Runtime Security, which involves using eBPF to observe, detect, and respond to policy-violating activity while a workload is actively running. The eBPF component acts as a real-time policy enforcement engine to protect the system, which is the core intent of this class.",
